class,text
0,text
1,is a far jacket jealous needed
0,you heard me bitch but any way in back th texas so utf you talking about bitch ass night
0,your a dirty terrorist and your religion is a fucking joke you go around screaming allah bar doing terrorist shit dirty maggot
0,looking like maggoty
1,well i thought you knew actually it man why you all did not tell me i was a dick riding ass maggot you all not real
1,i know it was a joke maggot
0,in tired of people saying i look like my brother
0,yeah cut million people in maggot ass are jews
0,word is you use roads stupid hypocrite lying maggot
0,i hate maggoty like you
0,shut up nigger where hope you get rapid by one of those animals might change your tune
0,fuck you nigger sheboon hope you are strong up like all nigger should be whitepower
0,they used to tie both ends of a nigger legs to different horses and beat him as the horses spread until his legs break s
1,good night bags and gazettes that is the female version of bags like gazettes to make it female i hate you all
0,i cannot stand no crybaby ass night if you going to act like a bitch i will leave to ass after i instavideo to stupid looking ass
1,no you are a nigger
0,ill fuck you til you love me maggot mike son
0,what is your problem do not you know jews control nigger read a book or two
2,i fucking hate you nigger brush
2,some species of birds have been known to hold funeral for their deceased
2,i remember draft from night my dress would not zip up and i was calling my eyes out and screaming i did not want to go so funny hata
2,damn epi that is just puff in not even going to trash talk that one get your game together epi you are a good b stop with the to
2,also happy armistice day anachronists “the run is either at your throat or at your feet” churchill
2,a friend suggested i dress as a fairy for a halloween party were attending thinking more wizards of course
2,apparently
2,so i was suspended for a day because of a random law spikes that force me to close the client and below and suspended go
2,w some foxy big comeback again major penalty killed the capsgreat game cases of
2,polls
2,you wear short short and fully boots in negative degree weather
2,www that is cut my nieces guinea pig crawled up her days parts well i do not think i need to finish this sentencelol
2,then gave the ole uncle charlie to mr orbit
2,if i had a dollar for every time i died on floppy bird
2,the fact that him kardashians pp may make million makes me wish we can speed up the process of having the apes take one
2,i play for keeps you play wit me its on be yellow tape
2,you are an idiot
2,a mock up of my wedding photo
2,
2,sitting alone watching white checks no parts fully blankets tea turn up
2,i want to go to a haunted house maybe get possessed know just to see if ghosts are real
1,bucks the brown get johnny
1,i was with a bitch with a mustache for a year and a half utf is wrong pitch me
1,huge ass small waist okay face birches really think they famous
1,bobby flay in this bitch
1,in never going to be ok with my night around clot of birches while with his boys because i was once that female your boys put you on
1,where the bad birches at ll
1,i just cannot help but to hate you even though you never intentionally did anything to me you are still a count
1,you females overlook us weeks when i take these glasses off in no longer clark kent i go sherman in that hussy a…
