3,The tweet contains hate speech,"""@jayswaggkillah: ""@JacklynAnnn: @jayswaggkillah Is a fag"" jackie jealous"" Neeeee"
2,The tweet uses offensive language but not hate speech,@Zhugstubble You heard me bitch but any way I'm back th texas so wtf u talking about bitch ass nigga
3,The tweet contains hate speech,"@elaynay your a dirty terrorist and your religion is a fucking joke, you go around screaming Allah akbar doing terrorist shit. Dirty faggot."
3,The tweet contains hate speech,RT @ivanrabago_: @_WhitePonyJr_ looking like faggots?
3,The tweet contains hate speech,Well I thought you knew actually RT @KingHorseDick: Man why y'all didn't tell me I was a dick riding ass faggot? Y'all not real &#128557
2,The tweet uses offensive language but not hate speech,"@Stonisnipezz I know. It was a joke, faggot."
2,The tweet uses offensive language but not hate speech,I'm tired of people saying I look like my brother &amp
3,The tweet contains hate speech,#VoteBlue2014 Yeah. CUZ 8 million people in faggot ass #newyork are #chickenshit JEWS&gt
3,The tweet contains hate speech,"@AndreBerto word is you use roids, stupid hypocrite lying faggot."
3,The tweet contains hate speech,I hate faggots like you
3,The tweet contains hate speech,@MoriTaheripour shut up nigger whore! Hope u get raped by one of those animals. Might change your tune.
3,The tweet contains hate speech,@Oprah @3LWTV Fuck you nigger sheboon. Hope you r strung up like all niggers should be. WHITEPOWER. #1488
3,The tweet contains hate speech,They used to tie both ends of a niggers legs to 2 different horses and beat him as the horses spread until his legs break ... Smh
3,The tweet contains hate speech,Good night fags and fagettes (that's the female version of fags like fag-ettes to make it female) I hate you all.
2,The tweet uses offensive language but not hate speech,I cant stand no crybaby ass nigga. If you gonna act like a bitch I will leave yo ass after I instavideo yo stupid lookin ass
3,The tweet contains hate speech,RT @nerdkiller669: @ShinSnipes no you're a nigger
2,The tweet uses offensive language but not hate speech,"""I'll fuck you til you love me faggot"" - Mike Tyson"
3,The tweet contains hate speech,@OxbloodStomper @PalePixie88 @SlaveCatcher88 what's your problem? Don't u know Jews control niggers? Read a book or two.
3,The tweet contains hate speech,I fucking hate you niggers bruh... http://t.co/OeTK4f94BO
1,The tweet is not offensive,RT @Fact: Some species of birds have been known to hold funerals for their deceased.
1,The tweet is not offensive,"I remember Draft prom night, my dress wouldn't zip up and I was bawling my eyes out and screaming I didn't want to go... So funny. Haha."
1,The tweet is not offensive,Damn Eli. That's just ruff. I'm not even gonna trash talk that one. Get your game together Eli. You're a good QB. Stop with the TO's
1,The tweet is not offensive,"Also, Happy Armistice Day, anachronists!

&#8220;The Hun is either at your throat or at your feet.&#8221; - Churchill"
